S,1495,1496,30
#RCR,1488,1496,6F
#BS,269885,1,2,346570.750,4070305.500,-2.4386,30
#
#BS,269933,1,2,346570.750,4070305.500,-2.4386,3C
#CS,1489,1484,3E
#RCR,1496,1484,63
#BS,269969,1,2,346570.750,4070305.500,-2.4384,31
#CS,1494,1488,3E
#RCR,1486,1488,6E
#BS,269999,1,2,346570.750,4070305.500,-2.4384,3E
#C87,1485,31
#RCR,1480,1485,65
#BS,270028,1,2,346570.750,4070305.500,-2.4386,37
#CS,1480,1494,36
#RCR,1489,1494,6C
#BS,270060,1,2,346570.750,4070305.500,-2.4384,39
#CS,1489,1496,3D
#RCR,1491,1496,67
#BS,270090,1,2,346570.750,4070305.500,-2.4386,34
#CS,1489,1501,32
#RCR,1500,1501,61
#BS,270119,1,2,346570.750,407030#CS,1500,1493,38
#RCR,1489,1493,6B
#BS,270151,1,2,346570.750,4070305.500,-2.438#CS,1491,1496,34
#RCR,1480,1496,67
#BS,270181,1,2,346570.750,4070305.500,-2.4386,35
#BS,270199,1,2,346570.750,4070305.500,-2.4386,3C
#CS,1489,1500,33
#RCR,1491,1500,69
#BS,270229,1,2,346570.750,4070305.500,-2.4387,35
#BS,270248,1,2,346570.750,4070305.500,-2.4387,32
#CS,1506,1496,3B
#RCR,1507,1496,69
#BS,270279,1,2,346570.750,4070305.500,-2.4387,30
#CS,1506,1496,3B
#RCR,1498,1496,6E
#BS,270309,1,2,346570.750,4070305.500,-2.4387,36
#BS,270326,1,2,346570.750,4070305.500,-2.4389,35
#CS,1489,1500,33
#RCR,1488,1500,61
#BS,270358,1,2,#B46570.750,4070305.500,-2.4391,38
#CS,1491,1501,3B
#RCR,1499,1501,60
#BS,270417,1,2,346570.750,4070305.500,-2.4389,3#CS,1498,1496,3D
#RCR,1494,1496,62
#BS,270449,1,2,346570.750,4070305.500,-2.4391,32
#CS,1496,1499,3C
#R#BS,270480,1,2,346570.750,4070305.500,-2.4391,37
#BS,270497,1,2,346570.750,4070305.500,-2.4389,38
#CS,1500,1497,3C
#RCR,1507,1497,68
#BS,270527,1,2,346570.750,4070305.500,-2.4391,3B
#BS,270546,1,2,346570.750,4070305.500,-2.4389,35
#CS,1507,1501,35
#RCR,1508,1501,69
#BS,270577,1,2,346570.750,4070305.500,-2.4389,37
8,1501,3A
#RCR,1496,1501,6F
#BS,270607,1,2,346570.750,4070305.500,-2.4389,33
#BS,270625,1,2,346570.750,4070305.500,-2.4387,3D
#CS,1496,1489,3D
#RCR,1486,1489,6F
#BS,270657,1,2,346570.750,4070305.500,-2.4389,36
#CS,1486,1499,3D
#RCR,1499,1499,60
#CS,1501,1519,3A
#RCR,1502,1519,6A
#CS,1496,1511,3D
#RCR,1496,1511,6E
#BS,270752,1,2,346570.750,4070305.500,-2.4389,32
#CS,1493,1507,3F
#RCR,1488,1507,66
#BS,270782,1,2,346570.750,4070305.500,-2.4389,3F
#BS,270800,1,2,346570.750,4070305.500,-2.4389,3A
#CS,1489,1504,37
#RCR,1486,1504,6B
#BS,270830,1,2,346570.750,4070305.500,-2.4391,30
#BS,270850,1,2,346570.750,40070305.500,-2.4386,31
#CS,1498,1486,3C
#RCR,1497,1486,60
#BS,270960,1,2,346570.750,4070305.500,-2.4384,30
#CS,1498,1484,3E
#RCR,1491,1484,64
#BS,270989,1,2,346570.750,4070305.500,-2.4384,37
#CS,1491,1488,3B
#RCR,1478,1488,6F
#BS,271020,1,2,346570.750,4070305.500,-2.4386,3E
#CS,1479,1487,32
